City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ambilobe,MG,-13.2,49.05,73.26,96,50,2.82,scattered clouds
79,Dong Xoai,VN,11.5333,106.9167,77.86,89,100,0.27,overcast clouds
80,Skaudvile,LT,55.4167,22.6167,38.3,62,18,5.57,few clouds
81,Provideniya,RU,64.3833,-173.3,28.45,81,61,15.1,broken clouds
82,Kismayo,SO,-0.3582,42.5454,82.65,78,100,11.25,overcast clouds
83,Ostrovnoy,RU,68.0531,39.5131,23.67,84,100,17.2,overcast clouds
84,The Valley,AI,18.217,-63.0578,84.06,54,40,13.8,scattered clouds
85,Bengkulu,ID,-3.8004,102.2655,77.32,88,100,4.0,overcast clouds
86,Kashan,IR,33.9831,51.4364,77.43,25,100,1.05,overcast clouds
87,Sirjan,IR,29.452,55.6814,66.58,21,1,4.72,clear sky
88,Altay,CN,47.8667,88.1167,42.8,37,0,8.52,clear sky
89,Hobart,AU,-42.8794,147.3294,58.86,92,4,6.91,clear sky
90,Goderich,CA,43.7501,-81.7165,41.32,48,0,13.8,clear sky
91,Aspindza,GE,41.5739,43.2483,52.95,92,100,3.44,overcast clouds
92,Bata,GQ,1.8639,9.7658,79.54,82,22,5.95,light rain
93,Kieta,PG,-6.2167,155.6333,79.05,80,91,3.71,overcast clouds
94,Longyearbyen,SJ,78.2186,15.6401,10.24,52,40,20.71,scattered clouds
95,Kruisfontein,ZA,-34.0033,24.7314,57.88,67,34,4.34,scattered clouds
96,San Pedro,PH,14.35,121.0167,83.43,78,20,3.44,few clouds
97,Saint George,US,37.1041,-113.5841,82.63,14,0,5.99,clear sky
98,North Bend,US,43.4065,-124.2243,55.24,79,100,8.05,overcast clouds
99,Egvekinot,RU,66.3167,-179.1667,18.99,70,12,7.67,few clouds
100,Musoma,TZ,-1.5,33.8,71.4,78,100,6.11,moderate rain
101,Carnarvon,AU,-24.8667,113.6333,62.67,72,0,11.5,clear sky
102,Souillac,MU,-20.5167,57.5167,73.78,94,20,4.61,few clouds
103,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,94,100,29.77,moderate rain
104,Albany,US,42.6001,-73.9662,53.17,24,6,1.99,clear sky
105,Hamilton,US,39.1834,-84.5333,63.61,47,20,9.22,few clouds
106,Castro,BR,-24.7911,-50.0119,69.91,81,98,5.48,overcast clouds
107,Lima,PE,-12.0432,-77.0282,62.85,82,100,8.05,overcast clouds
108,Safaga,EG,26.7292,33.9365,78.85,44,0,5.12,clear sky
109,Laredo,US,27.5064,-99.5075,84.49,54,100,19.57,overcast clouds
110,Lebu,CL,-37.6167,-73.65,54.86,64,8,13.15,clear sky
111,Aksarka,RU,66.5606,67.7975,13.73,92,100,3.78,overcast clouds
112,Airai,TL,-8.9266,125.4092,57.85,90,87,2.13,overcast clouds
113,Senanga,ZM,-16.1167,23.2667,69.98,55,34,6.96,scattered clouds
114,Narsaq,GL,60.9167,-46.05,53.82,63,100,2.84,overcast clouds
115,Ponta Do Sol,PT,32.6667,-17.1,66.7,79,83,4.03,broken clouds
116,Markova,UA,48.6758,24.4138,44.85,95,100,0.85,overcast clouds
117,Laguna,US,38.421,-121.4238,65.14,42,0,9.22,clear sky
118,Svetlyy,RU,54.675,20.1347,44.65,63,14,2.91,few clouds
119,Uusikaupunki,FI,60.8004,21.4084,35.67,87,5,9.91,clear sky
120,Northam,GB,51.0333,-4.2167,56.25,67,99,7.56,overcast clouds
121,Puerto Montt,CL,-41.4698,-72.9447,50.83,66,75,5.75,broken clouds
122,Gamba,GA,-2.65,10.0,78.12,86,100,2.66,overcast clouds
123,Esmeraldas,BR,-19.7625,-44.3139,87.91,33,2,1.03,clear sky
124,Alakurtti,RU,66.9672,30.3491,23.63,76,66,7.49,broken clouds
125,Okhotsk,RU,59.3833,143.3,25.93,76,100,16.24,overcast clouds
126,Hualmay,PE,-11.0964,-77.6139,70.92,78,60,8.55,broken clouds
127,Celestun,MX,20.8667,-90.4,80.82,68,41,13.42,scattered clouds
128,Shahrud,IR,36.4182,54.9763,65.75,54,96,6.58,overcast clouds
129,Gazli,UZ,40.1333,63.45,76.87,25,45,14.58,scattered clouds
130,Omboue,GA,-1.5746,9.2618,78.85,85,100,4.59,overcast clouds
131,Tiksi,RU,71.6872,128.8694,-2.65,99,33,5.91,scattered clouds
132,Waipawa,NZ,-41.4122,175.5153,49.57,78,91,2.17,overcast clouds
133,Mar Del Plata,AR,-38.0023,-57.5575,55.42,77,75,18.01,broken clouds
134,Semey,KZ,50.4111,80.2275,57.25,37,2,8.28,clear sky
135,Salalah,OM,17.0151,54.0924,84.29,79,20,4.61,few clouds
136,Kodiak,US,57.79,-152.4072,42.31,70,100,10.36,light rain
137,San Cristobal,VE,7.7669,-72.225,73.58,57,100,3.85,overcast clouds
138,Victoria,HK,22.2855,114.1577,82.18,86,9,10.0,clear sky
139,Ordu,TR,40.9086,37.6845,39.7,94,57,2.46,broken clouds
140,East London,ZA,-33.0153,27.9116,68.94,52,0,6.91,clear sky
141,Lodwar,KE,3.1191,35.5973,77.92,70,100,2.21,overcast clouds
142,Mountain Home,US,43.133,-115.6912,53.08,50,40,10.36,scattered clouds
143,Bandeirantes,BR,-23.11,-50.3675,85.55,48,1,4.88,clear sky
144,Nanakuli,US,21.3906,-158.1547,79.43,64,0,4.61,clear sky
145,Amapa,BR,1.0,-52.0,79.18,95,100,3.62,heavy intensity rain
146,Morros,BR,-9.4467,-46.3003,84.54,50,100,5.37,overcast clouds
147,New Norfolk,AU,-42.7826,147.0587,58.5,85,1,2.59,clear sky
148,Vardo,NO,70.3705,31.1107,19.38,93,100,23.02,overcast clouds
149,Mbamba,NG,9.9833,13.1,85.78,43,47,1.28,scattered clouds
150,Yellowknife,CA,62.456,-114.3525,37.92,52,75,18.41,broken clouds
151,Pacific Grove,US,36.6177,-121.9166,62.02,70,40,12.66,scattered clouds
152,Saldanha,ZA,-33.0117,17.9442,57.25,91,0,13.42,clear sky
153,Hulan,CN,45.9833,126.6,35.71,38,0,6.53,clear sky
154,Kaseda,JP,31.4167,130.3167,69.24,98,100,8.66,moderate rain
155,Tual,ID,-5.6667,132.75,84.45,71,100,13.15,overcast clouds
156,Erenhot,CN,43.6475,111.9767,46.67,41,100,16.69,overcast clouds
157,Nikolskoye,RU,59.7035,30.7861,36.72,62,100,3.67,overcast clouds
158,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,77,8,13.27,clear sky
159,Dhidhdhoo,MV,6.8833,73.1,84.92,71,24,1.7,few clouds
160,Olafsvik,IS,64.8945,-23.7142,45.46,79,59,8.5,broken clouds
161,Kenai,US,60.5544,-151.2583,49.03,80,0,9.22,clear sky
162,Adrar,MR,20.5022,-10.0711,81.46,9,0,5.26,clear sky
163,Sault Sainte Marie,CA,46.5168,-84.3333,48.49,22,0,4.61,clear sky
164,Yarada,IN,17.65,83.2667,84.52,79,40,5.75,scattered clouds
165,Saint Anthony,US,45.0205,-93.218,50.22,49,100,14.97,overcast clouds
166,Todos Santos,MX,23.45,-110.2167,75.79,42,4,10.76,clear sky
167,Nome,US,64.5011,-165.4064,37.17,93,75,10.36,broken clouds
168,Cherskiy,RU,68.75,161.3,15.87,96,99,9.04,overcast clouds
169,Boende,CD,-0.2167,20.8667,73.08,95,100,3.02,light rain
170,Camacha,PT,33.0833,-16.3333,60.22,72,20,12.66,few clouds
171,Brae,GB,60.3964,-1.353,46.02,78,93,5.35,overcast clouds
172,Sisimiut,GL,66.9395,-53.6735,25.25,91,100,4.25,overcast clouds
